iter	Passed	Remaining
0	189	189372
1	216	108250
2	234	78097
3	247	61617
4	259	51687
5	268	44482
6	279	39635
7	289	35956
8	298	32868
9	309	30675
10	318	28608
11	328	27047
12	338	25711
13	347	24445
14	358	23537
15	367	22628
16	377	21841
17	389	21234
18	399	20625
19	411	20156
20	422	19699
21	431	19196
22	442	18815
23	454	18478
24	463	18076
25	472	17710
26	481	17351
27	490	17029
28	500	16770
29	509	16462
30	519	16228
31	528	15992
32	538	15780
33	548	15586
34	557	15363
35	568	15211
36	577	15022
37	587	14870
38	596	14697
39	606	14545
40	616	14424
41	626	14281
42	637	14191
43	650	14132
44	661	14040
45	672	13936
46	681	13825
47	695	13785
48	706	13708
49	716	13612
50	727	13539
51	738	13470
52	747	13362
53	761	13335
54	773	13283
55	783	13205
56	794	13151
57	806	13101
58	818	13052
59	828	12975
60	839	12925
61	848	12831
62	857	12754
63	867	12691
64	875	12594
65	885	12525
66	893	12439
67	902	12374
68	911	12292
69	920	12222
70	928	12142
71	937	12077
72	945	12009
73	954	11938
74	963	11887
75	972	11823
76	982	11781
77	991	11715
78	1001	11672
79	1009	11609
80	1017	11548
81	1027	11499
82	1035	11444
83	1046	11411
84	1056	11376
85	1067	11340
86	1078	11319
87	1088	11285
88	1101	11272
89	1111	11242
90	1124	11237
91	1136	11217
92	1149	11209
93	1161	11196
94	1171	11156
95	1183	11142
96	1195	11133
97	1207	11110
98	1217	11084
99	1227	11044
100	1235	11000
101	1248	10987
102	1258	10958
103	1267	10923
104	1280	10912
105	1289	10876
106	1298	10835
107	1308	10805
108	1316	10763
109	1327	10744
110	1335	10699
111	1345	10665
112	1353	10623
113	1361	10583
114	1370	10546
115	1379	10509
116	1388	10478
117	1395	10433
118	1405	10403
119	1413	10363
120	1422	10334
121	1430	10295
122	1439	10266
123	1448	10230
124	1457	10202
125	1465	10168
126	1475	10142
127	1485	10121
128	1494	10089
129	1504	10069
130	1513	10040
131	1523	10015
132	1533	9994
133	1541	9964
134	1552	9945
135	1561	9917
136	1572	9903
137	1581	9876
138	1592	9862
139	1603	9847
140	1612	9826
141	1625	9824
142	1640	9829
143	1651	9815
144	1661	9798
145	1676	9808
146	1690	9810
147	1705	9815
148	1718	9816
149	1730	9805
150	1743	9804
151	1754	9789
152	1766	9777
153	1775	9755
154	1787	9744
155	1795	9716
156	1804	9687
157	1812	9657
158	1819	9626
159	1828	9599
160	1836	9569
161	1846	9552
162	1855	9526
163	1865	9509
164	1873	9479
165	1882	9458
166	1890	9431
167	1899	9409
168	1907	9381
169	1916	9355
170	1924	9330
171	1933	9307
172	1941	9280
173	1949	9253
174	1959	9235
175	1966	9208
176	1976	9188
177	1984	9162
178	1994	9148
179	2003	9125
180	2012	9107
181	2020	9083
182	2029	9062
183	2038	9038
184	2046	9014
185	2055	8993
186	2064	8974
187	2073	8955
188	2082	8937
189	2092	8918
190	2100	8895
191	2111	8884
192	2120	8865
193	2129	8846
194	2138	8828
195	2146	8806
196	2156	8788
197	2164	8766
198	2173	8747
199	2181	8724
200	2189	8705
201	2197	8681
202	2205	8660
203	2213	8638
204	2222	8618
205	2230	8597
206	2239	8578
207	2247	8556
208	2255	8536
209	2263	8513
210	2271	8494
211	2279	8474
212	2288	8455
213	2296	8435
214	2305	8416
215	2313	8396
216	2322	8380
217	2331	8362
218	2340	8347
219	2349	8330
220	2358	8312
221	2367	8297
222	2376	8282
223	2388	8274
224	2396	8256
225	2405	8239
226	2415	8226
227	2424	8208
228	2434	8194
229	2442	8178
230	2454	8170
231	2478	8205
232	2491	8202
233	2512	8225
234	2526	8224
235	2539	8220
236	2551	8213
237	2561	8202
238	2573	8193
239	2586	8189
240	2599	8187
241	2611	8178
242	2622	8169
243	2634	8162
244	2644	8148
245	2654	8136
246	2666	8130
247	2677	8118
248	2687	8105
249	2699	8098
250	2708	8083
251	2719	8072
252	2730	8060
253	2739	8047
254	2748	8030
255	2757	8014
256	2766	7998
257	2776	7984
258	2784	7966
259	2793	7950
260	2800	7930
261	2809	7913
262	2816	7893
263	2825	7877
264	2833	7858
265	2841	7841
266	2849	7824
267	2857	7805
268	2866	7789
269	2874	7771
270	2882	7754
271	2890	7737
272	2899	7721
273	2907	7703
274	2915	7687
275	2924	7670
276	2933	7657
277	2942	7641
278	2951	7626
279	2960	7612
280	2969	7598
281	2977	7582
282	2988	7572
283	2997	7558
284	3006	7542
285	3015	7527
286	3023	7511
287	3031	7495
288	3039	7476
289	3047	7460
290	3055	7443
291	3063	7427
292	3070	7410
293	3079	7394
294	3087	7377
295	3095	7363
296	3103	7345
297	3111	7330
298	3119	7313
